공개,364
제한,301
정사영,290
드론,287
도시,252
정보,240
디지털,240
공간,227
스마트,170
활용,156
서울,123
데이터,113
으로,105
트윈,94
서비스,91
에서,89
기술,82
통해,79
시티,73
서울시,73
혁신,71
개발,69
국토,68
기업,67
지도,66
건물,64
정책,61
지원,60
분석,60
계획,59
사업,58
센터,54
육교,53
구축,52
기반,51
위한,50
세계,48
발표,46
공공,46
플랫,42
모델,42
공모전,40
부터,39
행정,39
정부,39
총회,39
한다,38
민간,38
도록,37
도로,37
포럼,37
보도,36
제공,36
예정,34
포용,34
자료,32
가능,32
교육,31
추진,30
시뮬레이션,30
위해,30
기관,30
참여,30
시민,30
개최,29
전문가,28
교수,28
선정,27
주소,27
밝혔,26
운영,26
발전,26
관리,26
산업,26
주제,26
사회,26
미래,26
기능,25
시상,25
고도,24
실내,24
협력,24
기타,24
환경,23
필요,23
이번,23
심사,23
한국,23
국가,22
보유,22
체계,22
분야,22
사진,22
사용,21
오픈,21
평가,21
재단,21
붙임,21
시장,21
방안,21
대한,20
지역,20
안전,20
캠퍼스,20
시범,19
온라인,19
발굴,19
연계,19
콘텐츠,19
에스,19
교통부,18
확대,18
인프라,18
관련,18
교통,18
다양,18
창업,18
문제,18
의장,18
위원회,18
세션,18
이후,17
이월드,17
정밀,17
강화,17
클라우드,17
주요,17
내용,17
제작,17
아이디어,17
홍보,16
진행,16
해결,16
버스,16
된다,16
담당관,16
실외,16
회원,15
도입,15
부서,15
연구,15
가상,15
에게,15
사례,15
시간,15
결과,15
대회,15
우수,15
함께,15
해소,15
구역,15
모색,15
단계,14
추가,14
지속,14
담당,14
지자체,14
직접,14
통합,14
사람,14
공사,14
메타,14
논의,14
오전,14
프로젝트,14
까지,13
중심,13
으며,13
담당자,13
참고,13
대상,13
누리집,13
시상식,13
인공지능,13
글로벌,13
도전,13
기구,13
회장,13
브이,12
월드,12
고자,12
조성,12
방향,12
역할,12
변화,12
프로그램,12
국민,12
최종,12
면서,12
신청,12
확산,12
팀장,12
토론,12
연사,12
격차,12
장관,11
대표,11
개선,11
소개,11
적용,11
누구,11
시설물,11
흥원,11
중요,11
기준,11
주도,11
구현,11
융합,11
국내,11
학생,11
학교,11
연결,11
국제,11
오세훈,11
약자,11
참석,11
허브,11
전환,10
자율,10
사항,10
라고,10
책임자,10
이용,10
핵심,10
맞춤,10
영역,10
기획,10
공유,10
접수,10
확인,10
지하,10
시청,10
노력,10
본부,10
개소,10
보도육교,10
비전,10
리더,10
조간,9
플랫폼,9
반영,9
마련,9
모바일,9
다운로드,9
가시,9
시스템,9
인증,9
수립,9
전문,9
사전,9
위치,9
높이,9
등록,9
활성,9
상금,9
나아가,9
기여,9
전부,9
습니다,9
수석,9
대학원,9
부문,9
토론회,9
그림,9
시점,8
최신,8
정밀도,8
창구,8
적극,8
목표,8
과제,8
전국,8
영상,8
결정,8
선택,8
스타트업,8
유튜브,8
기존,8
절차,8
입체,8
참가,8
생활,8
총괄,8
포스터,8
선도,8
과학,8
규모,8
관심,8
방문,8
인구,8
협의,8
초등,8
오프라인,8
실험,8
지난,8
자유,8
열린,8
한계,8
화면,8
시립,8
대교,8
공원,8
학회,8
총장,8
대담,8
의원,8
개편,7
더욱,7
한다고,7
포털,7
신규,7
아니,7
효율,7
특정,7
소통,7
모집,7
행사,7
따른,7
모든,7
지점,7
안내,7
경진,7
주최,7
주관,7
기대,7
첨단,7
수행,7
전자,7
수요,7
대응,7
복합,7
교재,7
건설,7
연구소,7
경우,7
쪽수,7
광장,7
보안,7
개방,7
마을,7
서울대,7
서울특별시장,7
개정,7
가치,7
시대,7
최고,7
팬데,7
뱅크스,7
대학교,7
인덱스,7
마드리드,7
차기,7
부의장,7
전면,6
원희룡,6
사무관,6
창출,6
위성,6
갱신,6
구분,6
관한,6
건축,6
채널,6
실현,6
디자인,6
고려,6
설정,6
지정,6
생성,6
차원,6
촉진,6
이하,6
따라,6
서면,6
수여,6
원장,6
공동,6
최대,6
컨설팅,6
검토,6
홈페이지,6
기회,6
로봇,6
거점,6
공식,6
실험실,6
이러,6
한다는,6
고품질,6
리스트,6
에너지,6
발전소,6
월드컵,6
주재,6
동행,6
축사,6
대해,6
텍사스,6
국장,6
참석자,6
합니다,6
지성우,6
김정재,6
려면,6
원본,6
배포,5
수요자,5
주행,5
개요,5
모형,5
지적,5
지구,5
예비,5
탑재,5
기본,5
이상,5
촬영,5
전역,5
건축물,5
설계,5
의사,5
새로운,5
모니터링,5
일반,5
보다,5
발생,5
설치,5
별도,5
메뉴,5
경험,5
구성,5
지만,5
통한,5
조망,5
향후,5
공고,5
진흥,5
는다,5
창업자,5
거쳐,5
생태,5
역량,5
사장,5
공모,5
경상북도,5
입지,5
관광,5
예측,5
통신,5
광명,5
기후,5
확장,5
구조,5
주행로,5
실증,5
지능,5
부여,5
학습,5
전망,5
마다,5
한편,5
컴퓨터,5
소프트웨어,5
김진만,5
수상,5
교류,5
본관,5
성장,5
의회,5
가운데,5
개회사,5
아시아,5
인프라스트럭처,5
안희철,5
법무법인,5
디라이트,5
파트너,5
변호사,5
박경렬,5
순민,5
소장,5
